CTAS,GOOG,HAS,HOLX,IDXX,JBHT,KLAC,LILA,LILAK,SHPG
,,100.21,42.59,154.68,91.79,95.2,22.04,22.9,175.81
,829.08,100.17,42.59,,,95.1899,22.0,22.91,175.61
,829.0692,100.2,42.6,,91.8,95.21,22.015,,175.43
126.83,829.25,100.19,42.63,154.65,91.84,95.1801,22.0,22.9099,175.28
,829.43,100.19,42.6399,,91.83,95.13,22.015,22.9,175.31
,829.59,100.2,42.65,,91.83,95.18,22.0,,175.18
,829.62,100.19,42.63,154.72999999999996,,95.16,22.0,22.9,175.21
,829.73,100.18,42.64,154.71,,95.14,22.0,22.88,175.35
,829.6699999999998,100.19,42.63,154.69999999999996,,95.13,21.995,22.88,175.59
126.76,829.7999999999998,100.18,42.6,154.63,91.75,95.14,22.0,,175.64
126.83,829.9049999999999,100.15,42.63,154.72999999999996,91.77,95.13,21.99,22.89,175.76
126.8,829.5200999999998,100.16,42.635,154.59,91.81,95.08,21.97,22.89,175.75
,829.59,100.15,,,91.79,95.09,21.99,22.89,175.74
,829.74,100.16,42.631,,91.82,95.11000000000003,21.99,22.88,175.72
126.73,829.2799999999999,100.19,42.61,154.55,91.84,95.1,21.97,22.88,175.69
,829.4049999999999,100.22,42.61,154.6,91.8,95.18,21.98,22.88,175.77
126.68,829.35,100.18,42.61,,91.75,95.12,22.05,22.91,175.79
,829.6499999999999,100.195,42.62,,91.82,95.12,22.04,22.905,175.79
126.68,829.6499999999999,100.2,42.605,154.54,91.8,95.0902,22.03,22.9,175.72
126.67,829.61,100.26,42.6,154.57,91.8,95.11000000000003,22.04,22.89,175.76
126.69,829.83,100.27,42.595,,,95.11000000000003,22.025,22.89,175.71
,829.7360999999999,100.26,42.59,154.63,91.81,95.09,22.03,22.89,175.8
126.72,829.7749999999999,100.26,42.58,154.65,91.84,95.08,22.03,22.88,175.82
126.74,830.1499999999999,100.25,42.58,154.85,91.89,95.06,22.06,22.885,175.72
126.73,830.32,100.23,42.58,154.85,,95.06,,22.89,175.85
126.7596,830.4099999999999,100.22,42.57,154.82,91.86000000000001,95.07,22.04,22.91,175.71
126.71,830.0499999999998,100.22,42.58,154.86,91.84,95.1,22.1,22.92,175.43
,830.13,,42.58,154.91,91.81,95.1,22.1,22.9,175.25
,830.46,100.225,42.6,154.99,91.81,95.115,,22.9,175.07
126.745,830.58,100.295,42.62,154.99,91.84,95.15,22.1,22.91,175.01
126.75,830.4099999999999,100.27,42.6232,155.09,91.905,95.13,22.13,22.92,175.12
,830.22,100.26,42.64,155.12,91.93,95.1,22.13,22.93,175.24
126.76,830.09,100.23500000000001,42.63,155.13,91.88,95.14,22.1208,22.93,175.22
126.79,830.0499999999998,100.23,42.63,155.15,91.95,95.147,22.12,22.94,175.14
126.79,830.4199999999998,100.25,,155.14,91.98,95.14,22.09,22.93,175.12
126.76,830.39,100.24,42.621,155.13,91.97,95.035,,22.92,175.07
126.775,830.315,100.23500000000001,42.63,155.14,92.03,94.98,22.06,22.9168,175.09
126.71,830.33,100.24,42.62,155.13,91.98,95.03,22.03,22.93,175.1
126.73,830.35,100.2305,42.63,,91.99,95.0,22.06,22.94,174.945
,830.77,100.27,42.64,155.19999999999996,92.02,95.035,22.09,22.98,175.03989999999996
126.76,830.47,100.33,42.65,155.245,91.99,94.99,22.09,22.99,175.04
126.76,830.36,100.32,42.64,155.38,92.02,95.01,22.06,22.97,175.17
126.76,830.19,100.38,42.63,155.34,,94.98,,,175.11
126.71,830.27,100.33,42.631,155.39,92.01,94.9625,22.09,22.97,175.03
,830.19,100.31,42.635,155.44999999999996,92.0,94.96,22.09,22.97,175.27
,830.19,100.33,42.635,155.47,91.93,94.94,22.1,22.97,175.345
126.63,830.0399999999998,100.325,42.635,155.395,91.93,94.92,22.1,22.99,175.28
126.61000000000003,830.0399999999998,100.3,42.64,155.47,,94.9,22.15,23.03,175.42
126.57,830.06,100.3,42.631,155.44999999999996,91.86000000000001,94.89,22.21,23.1,175.31
126.54,830.1499999999999,100.375,42.621,155.41,91.8,94.8,,23.11,175.44
126.47,830.1499999999999,100.33,42.62,155.47,91.85,94.84,22.23,23.11,175.35
,830.18,100.27,42.63,155.47999999999996,91.88,94.86000000000003,22.24,,175.4
126.54,830.0,100.285,42.62,155.44,91.86000000000001,94.8,,,175.1
,830.1499999999999,100.225,42.63,155.435,91.87,94.84,22.25,23.1,175.22999999999996
,830.2999999999998,100.16,42.63,155.47999999999996,91.88,94.84,,,175.22
,830.33,100.185,42.63,155.42,91.885,94.86000000000003,22.25,23.1,175.33
126.51,830.32,100.12,,155.44999999999996,91.83,94.84,22.19,23.1,175.295
,830.46,100.125,42.64,155.42,,94.88,,23.11,175.22
126.54,830.31,100.05,42.63,155.34,,,22.24,23.12,175.19999999999996
126.56,830.4199999999998,100.08,42.611,155.33,,94.86000000000003,22.24,23.12,175.19999999999996
126.61000000000003,830.7425,100.11000000000001,42.615,155.37,91.83,94.935,22.23,23.12,175.19999999999996
126.6208,830.765,100.05,42.611,155.335,91.82,94.945,,23.13,175.11700000000002
,830.81,100.06,42.611,155.24,,94.96,22.22,23.12,175.08
126.57,830.865,100.02,42.611,155.21,91.82,94.965,22.25,23.13,175.08
126.55,830.68,99.97,42.611,155.19999999999996,91.72,94.9785,22.23,23.13,175.06
126.54,830.6599999999999,99.89,42.601000000000006,155.2226,91.72,94.98,22.24,23.13,175.08
,830.57,99.915,42.59,155.35,91.74,94.99,22.25,23.13,
126.545,830.51,99.92,42.58,155.5,,95.03,,23.13,175.08
,,99.94,42.56,155.28,91.765,95.05,,23.125,175.08
126.56,830.5399999999998,99.97,42.54,155.24,,95.05,22.21,23.12,175.08
126.52,830.68,100.0,42.55,155.2025,91.78,95.105,,23.11,
126.55,830.6599,99.9886,42.531000000000006,,91.73,95.12,22.22,23.11,175.15
,830.59,100.0275,42.55,,91.71,95.13,22.25,23.13,175.19999999999996
,830.72,100.05,42.57,,91.67,,22.25,23.13,175.18
126.52,830.6699999999998,100.07,42.57,155.07,91.66,95.17,,23.13,175.14
126.55,830.5,100.1,42.56,155.06,,,,23.12,
126.5872,830.52,100.08,42.57,155.07,91.71,95.16,22.25,23.14,175.09
126.6,830.5499999999998,100.11000000000001,42.58,155.09,91.76,95.17,22.25,23.13,175.17
126.62,830.5299999999999,100.11000000000001,42.58,154.94999999999996,91.86000000000001,95.15,22.23,23.12,175.19999999999996
126.57,830.5249999999999,100.08,42.555,155.0,91.8,95.13,22.24,23.14,175.09
126.5848,830.6,100.09,,154.93,,95.13,,,175.16
,830.51,100.1,42.56,,,95.11000000000003,22.24,23.135,
,830.43,100.08,42.56,154.74,,95.08,22.25,23.13,175.17
126.54,830.3799,100.09,42.55,154.65,91.85,95.1,,23.13,175.155
126.495,830.24,,42.55,154.8,,95.07,22.25,23.13,175.19
,830.23,100.115,42.55,,,95.09,22.25,23.13,175.18
126.57,830.2999999999998,,42.5562,,,95.09,22.25,23.14,175.165
,830.1599999999999,100.09,42.54,154.79,,95.0789,22.25,23.12,175.15
,,100.0775,42.5458,154.74,91.86000000000001,95.05,22.25,23.12,175.08
,830.21,100.09,42.56,154.87,91.86000000000001,95.065,22.25,23.13,
126.64,830.0299999999999,100.0801,42.575,,91.83,95.07,22.25,23.13,175.08
126.64,830.12,,42.58,,91.86000000000001,95.06,22.25,23.13,175.1
126.59,830.075,100.07,42.565,154.82,91.83,95.04,22.25,,175.08
,830.0399999999998,100.06,42.55,154.6,91.82,95.08,22.22,23.08,174.99900000000002
,829.97,100.06,42.54,,,95.07,22.18,23.07,175.0
126.55,829.9451,100.05,42.54,,,95.05,22.21,23.06,175.01
,830.0,100.04,42.545,,91.76,95.07,,23.06,175.02200000000002
,829.85,100.03,42.54,154.585,91.75,95.08,,23.065,175.005
126.52,829.8891999999998,99.99,42.52,154.62,,95.11000000000003,22.23,23.09,174.8832
,829.88,100.0,42.51,154.6,91.8,95.125,22.23,23.1,
,829.83,100.0151,42.501000000000005,154.56,91.8,,22.2,23.1,
126.59,829.7999999999998,100.015,42.5,154.47,91.78,95.14,22.19,23.09,174.96
,829.87,100.03,42.505,154.57,91.78,,22.14,23.05,175.0
,829.83,100.0,42.485,,,95.17,22.15,23.04,
,829.83,100.0,42.49100000000001,154.685,91.77,,22.14,23.02,
,829.7799999999999,99.97,42.49,154.72,,95.2,22.145,23.03,175.035
126.61000000000003,830.0983,99.96,42.49,154.665,91.71,95.2999,22.18,23.07,174.96
,830.32,99.94,42.49,154.655,91.72,95.28,,23.1,
,830.23,,42.48,154.625,,95.3399,,,175.04
,830.2799999999999,99.92,42.465,,91.71,,,23.1,174.96
126.58,830.2899999999998,99.97,42.47,,91.76,95.335,22.2,23.11,174.97
126.53,830.24,99.93,42.48,,91.71,95.31,,23.11,174.94999999999996
126.52,830.3585,99.92,42.47,154.59,,95.3,22.23,,174.88
126.52,830.2799999999999,99.94,42.48,,91.78,95.3,22.25,,174.9752
,830.33,99.915,42.47,154.55,91.78,,22.25,,175.01
126.52,830.39,99.9253,42.4764,154.67,91.78,95.26,22.23,,175.06
,830.35,99.93,42.47,154.59,91.81,95.29,22.24,23.11,175.09
126.54,830.435,99.88,42.46,154.60499999999996,91.82,95.26,22.25,23.1,175.0359
126.525,830.2899999999998,99.9,42.47,154.47,,95.26,,,174.93
126.57,830.125,99.89,42.47,154.505,,,22.205,23.05,
126.59,830.09,99.9,42.47,154.43,,95.29,,23.07,
126.59,829.97,,42.48,154.46,,95.31,,23.07,174.96
126.62,830.0956,99.88,42.49,154.4948,91.83,95.36000000000003,,23.05,174.885
,830.06,99.86000000000003,42.5,154.44999999999996,91.78,95.35,22.18,23.05,174.91
126.63,830.1599999999999,99.92,42.5,154.47999999999996,91.82,95.38,,23.06,174.96
126.6,830.0,99.9,42.52,154.505,91.85,95.4,22.18,23.06,174.79
126.65,,,42.52,154.63,91.85,95.38,,23.06,174.72999999999996
126.66,830.1599999999999,99.93,42.515,154.6,91.87,95.37,22.16,23.05,174.79
126.71,830.205,,42.52,,91.88,95.4,22.16,23.06,174.785
126.67,830.195,100.0,42.525,,,95.37,22.16,23.04,174.72999999999996
,830.23,100.02,42.515,154.59,91.92,,,23.0399,174.66
126.69,829.9199999999998,100.01,42.51,,,95.36000000000003,22.15,23.02,174.64
126.71,829.9099999999999,100.03,42.5,,,,22.17,23.04,174.63
,829.95,100.034,42.52,,91.91010000000001,95.37,22.16,23.04,174.64
,829.88,100.02,42.511,154.62,91.97,,,23.0301,
,829.98,100.05,42.505,154.6126,,95.36000000000003,,23.04,
,829.975,100.045,42.53,154.585,91.98,95.39,22.18,23.05,174.62
126.76,830.0,100.08,42.55,,92.06,95.4,22.19,23.06,174.75
126.765,829.75,,42.54,154.63,92.0697,95.46,,23.0401,
,829.95,100.02,42.53,,92.06,95.45,22.17,23.05,
126.765,829.9015,,42.52,,92.05,,22.17,23.05,174.69999999999996
126.7,829.88,100.06,42.51,154.53,92.04,95.49,22.17,23.04,174.72
126.69,829.88,100.09,42.52,154.53,92.02,95.48,,,174.72
126.685,829.7600999999999,100.1,42.54,154.39,92.09,95.495,22.15,23.06,174.64009999999996
126.7,829.94,100.09,42.54,,92.1,95.51,22.15,23.06,174.76
126.6625,830.0,100.12,42.54,,92.11000000000001,95.53,22.15,23.06,174.8
126.66,830.07,100.16,42.56,154.61,92.13,95.6,22.19,23.06,174.89
,830.005,100.14,42.57,,92.12,95.56,,23.07,
126.64,829.98,100.12,42.58,154.57,92.145,95.5,22.22,23.09,174.96
126.65,829.8999999999999,100.125,42.5801,154.55,92.12,95.47,,23.09,174.96
126.6,829.7453,100.07,42.58,154.47999999999996,92.11000000000001,95.42,22.15,23.06,
126.64,829.73,100.1,42.58,154.54,92.15,,22.17,,174.96
,829.7849999999999,100.1275,42.58,154.57499999999996,,95.44,,23.07,
126.62,829.7999999999998,100.09,42.5858,154.5865,92.13,95.42,22.17,23.07,174.952
126.6,829.89,100.115,42.58,154.61,92.11000000000001,95.39,22.21,23.08,174.97
126.61000000000003,829.8999999999999,100.04920000000001,42.57,,92.1,95.35,,23.09,174.99
,829.85,100.08,42.59,154.56,92.11000000000001,95.38,22.23,23.1,174.99
126.68,829.865,100.1,42.6,154.71,92.12,95.35,22.18,23.09,
126.68,,100.07,42.61,154.66,,95.34,22.2,,
,829.7999999999998,100.071,42.615,154.64,92.06,95.31,,23.08,175.08
126.67250000000003,829.6599999999999,100.07,42.61,154.63,92.07,95.28,22.17,23.06,175.06
126.71,829.595,100.07,42.61,,92.07,95.29,22.16,23.05,
126.68,829.51,100.05,42.62,,,95.25,22.16,23.0499,174.97999999999996
126.7,829.5399999999998,100.08,42.621,154.58,92.08,95.3,,23.06,175.04
126.6701,829.5,100.08,42.63,,,95.27,22.19,23.06,
,829.5,100.05,42.63,154.6294,92.09,95.27,22.17,,174.99
126.71,829.5,100.07,42.6235,154.64,92.06,95.25,22.17,23.0401,175.0
126.65,829.49,100.06,42.61,154.54,92.08,95.23,22.15,23.02,174.89
126.68,829.5499999999998,100.06,42.61,154.5,92.07,95.22,22.14,23.01,174.93
126.66,829.6699999999998,100.0432,42.58,154.5327,92.07,95.21,22.13,23.01,
126.68,829.7,100.01840000000001,42.59,154.5,92.09,,22.11,23.01,174.7601
126.71,829.7999999999998,100.05,42.6,,,95.22,22.15,23.02,174.72
126.65,829.45,100.01,42.58,154.52,92.04,95.15,22.14,23.01,174.68
,829.37,100.04,42.57,154.405,92.06,,22.12,23.01,174.66
126.6834,829.44,100.02,42.55,154.43,92.05,95.14,22.14,23.02,174.66
126.6,829.315,100.0,42.56,154.43,91.9998,95.14,,23.015,174.655
126.5,829.215,100.02,42.57,154.36,91.98,95.04,22.095,23.0,174.63
126.51,829.4199999999998,100.04,42.59,154.33,92.04,95.1,,22.98,174.71
126.54,829.1499999999999,100.01,42.6,,92.01,95.05,,22.98,
,828.95,100.015,42.6,154.34,91.99,95.09,22.09,22.99,174.67
126.49,828.69,100.04,42.605,154.24,91.96,95.05,,22.9899,
126.45,828.6,100.01,42.61,154.22999999999996,91.95,95.06,22.11,22.9701,174.58
,828.77,100.03,42.62,154.29,,95.0102,22.109,22.97,174.58
,828.88,100.04,42.61,154.24,91.99,95.01,22.12,22.99,174.595
126.43,829.01,100.011,42.62,154.19999999999996,92.01,95.02,22.15,23.02,174.62
126.44,828.95,100.04,42.62,,92.02,95.0,,23.02,174.66
126.43,828.97,100.074,42.58,154.24,92.02,95.02,,23.03,174.5822
126.37,828.64,99.99,42.57,154.14,91.97,94.91,,23.02,174.60499999999996
126.25,828.02,99.95,42.53,154.13,91.89,94.78,22.13,22.99,174.52
126.31,828.1599999999999,99.92,42.54,,91.9,94.83,22.11,22.98,174.4968
126.25,828.37,,42.55,154.04,91.88,94.89,,,174.47
126.26,828.3554,99.94,42.56,154.11,,,22.12,23.01,174.49
126.29,828.72,99.91,42.58,,91.84,94.94,22.16,23.03,174.42
126.29,828.2949999999998,99.8728,42.58,154.14,91.83,94.92,,23.04,174.41
126.25,828.3453,99.87,42.6,154.1,91.79,,22.15,23.04,174.44
126.33,828.22,99.9,42.595,,91.815,94.87,22.15,23.04,174.37
126.3,828.2899999999998,99.87,42.59,154.07499999999996,91.82,,22.17,23.05,174.32
126.33,828.45,99.89,42.605,154.08,91.83,94.91,22.17,23.05,174.33
126.35,828.43,99.83,42.615,154.15,91.87,94.96,22.18,23.05,174.4
,828.4099999999999,99.88,42.62,154.1186,91.9,94.92,22.169,23.0401,174.4378
126.33,828.6,99.9,42.63,154.25,91.95,,,23.05,174.43
126.34,828.7752,99.91,42.61,154.18,91.95,94.96,22.17,,174.465
126.35,828.6699999999998,99.93,42.61,154.208,91.96,94.97,22.18,23.0101,174.41
126.34,828.71,99.93,42.6,154.15,91.99,94.99,22.19,23.03,174.365
126.36000000000003,828.76,99.935,42.615,154.165,92.0286,95.05,22.22,23.04,174.32
,828.7152,99.95,42.62,,91.95,95.01,,23.06,174.29
126.32,828.6499999999999,99.86000000000003,42.57,154.1,91.9674,94.99,22.23,23.04,174.22999999999996
126.28,828.61,99.89,42.56,,91.93,94.9902,22.2,23.03,174.26
126.35,828.635,99.9,42.56,154.1134,91.95,95.0,22.22,23.04,174.32
126.38,828.73,99.92,42.55,154.09,91.97,95.03,,23.04,174.37
126.37,828.86,99.93,42.58,,92.01,95.01,22.2,23.04,174.46
126.38,829.0299999999999,99.925,42.55,154.17,91.97,95.0,22.22,23.05,
126.46,829.1599999999999,99.92,42.56,154.22999999999996,91.97,95.01,22.205,23.05,174.49
126.52,829.1599999999999,99.92,42.56,154.18,91.96,,,23.05,174.57
126.57,829.11,99.95,42.58,154.22999999999996,91.95,95.022,22.23,23.05,174.57499999999996
126.5,828.81,99.95,42.56,,92.0,95.005,,23.04,174.505
126.5,829.0399999999998,99.96,42.56,,92.03,94.98,22.185,23.036,174.458
126.54,829.1725,99.945,42.565,154.19999999999996,92.03,95.01,22.21,23.03,174.61
126.53,829.1499999999999,99.92,42.56,154.19,92.0,94.98,,23.05,174.57
126.52,829.2799999999999,99.9,42.55,154.16,92.0,,22.18,23.05,174.56
126.5,829.51,99.91,42.57,154.16,92.02,95.01,22.2,23.05,174.58
126.47,829.5206,99.93,42.58,154.19999999999996,92.01,94.98,22.18,23.05,174.64
126.45,829.37,99.9,42.56,154.17,91.995,94.98,22.2,23.06,174.69
126.49,829.27,99.9,42.575,,92.02,95.01,22.195,23.06,174.74
,829.5399999999998,99.9,42.58,154.16,92.02,95.04,22.19,23.06,174.76
126.46,829.5299999999999,99.92,42.565,154.19,92.0,95.08,22.195,23.07,174.65
126.45,829.3999999999999,99.91,42.56,154.19,92.0,95.01,,23.05,174.545
126.43,829.0,99.91,42.55,,91.99,95.0,22.22,23.06,174.79
126.43,829.0000999999999,99.91,42.56,154.14,92.02,95.0,22.22,23.06,174.85
126.42,829.07,99.92,42.57,154.27,,94.99,,23.08,174.83
126.39,829.0573,99.94,42.58,154.33,92.0,94.97,,23.08,174.829
126.41,829.08,99.94,42.59,154.4,92.0,,22.22,23.06,174.74
126.42,829.1299,99.92,42.585,154.43,92.003,94.97,,23.06,174.67
126.43,828.95,99.935,42.57,154.38,92.03,94.98,22.225,23.05,174.69
,828.85,99.95,42.57,,,94.96,22.24,23.05,174.6556
126.3901,828.93,99.955,42.58,154.35,92.0101,94.96,22.27,23.03,174.74
126.43,829.055,99.93,42.62,154.39,92.02,94.98,22.26,23.04,174.78
126.47,829.68,99.95,42.63,154.41,92.01,95.03,22.3,23.06,174.97
126.56,829.81,99.92,42.63,154.47999999999996,92.02,95.045,22.31,23.07,175.02
,829.93,99.92,42.62,154.44999999999996,92.01,95.05,22.3,,
,829.84,99.91,42.63,154.44,92.0061,95.075,22.295,23.06,175.04
126.55,829.9899,99.89,42.65,154.44999999999996,91.995,95.09,22.32,23.09,174.93
126.55,830.0,99.865,42.63,154.49,91.95,95.1,22.315,23.06,174.83
126.5418,829.95,99.89,42.625,154.41,91.922,95.08,22.32,23.06,174.75
126.56,830.06,99.93,42.63,154.46,91.94,95.07,22.305,23.0501,174.72999999999996
126.65,830.12,99.94,42.62,154.51,91.94,95.08,22.305,23.07,174.74
126.61000000000003,830.0796,99.94,42.64,154.52,,95.06,22.32,23.08,174.72
,830.2,99.94,42.64,154.535,91.93,95.06,22.3125,23.08,174.64
126.67,830.23,99.94,42.65,154.56,91.945,95.1,22.32,23.08,
,830.27,99.9485,42.655,154.58,91.938,95.12,22.3,23.08,
126.67,830.31,99.94,42.665,154.55,91.965,95.13,,23.08,
126.7,830.44,99.95,42.66,154.56,91.98,95.18,22.32,23.06,174.6
,830.44,99.93,42.66,154.51,91.98,95.21,22.32,23.08,174.41
126.69,830.61,99.945,42.66,154.505,91.99,95.24,22.35,23.11,174.47
,830.56,99.94,42.65,154.51,91.97,95.23,22.36,23.11,174.44
126.73,830.445,99.94,42.67,,91.95,95.255,22.35,23.12,174.39
,830.57,99.95,42.675,154.55,91.94,95.26,,23.13,174.34
126.725,830.46,99.935,42.68,154.53,91.945,95.31,22.37,23.13,174.32
126.75,830.31,99.94,42.67,154.55,91.93,95.32,,23.13,174.35
126.82,830.37,99.96,42.69,154.58,91.95,95.35,,23.13,174.46
126.8,830.3610000000001,100.01,42.7,154.59,91.97,95.36000000000003,22.34,23.14,174.511
126.87,830.58,99.99,42.695,154.74,91.97,95.37,22.33,23.14,
126.88,830.635,99.99,42.71,154.715,91.98970000000001,95.38,,23.14,174.51
126.9,830.48,99.98,42.71,154.715,91.99,95.37,22.33,23.14,174.43
126.86000000000003,830.5,99.98,42.71,154.75,91.98,95.37,,23.15,174.35
126.825,830.44,99.93,42.71,154.68,91.96,95.35,22.33,23.14,174.34
126.875,830.47,99.9,42.69,154.66,91.95,95.32,22.3,23.09,174.42
126.94,830.565,99.89,42.68,154.67,91.91,95.335,22.3,23.08,174.51
126.95,830.58,99.9275,42.685,154.68,91.915,95.37,22.32,23.1,174.49
127.02,830.88,100.01,42.7,154.72999999999996,91.95,95.39,,23.11,174.55
126.98,830.9149999999998,99.99,42.7,154.75,91.98,95.39,22.3,23.11,174.57
126.97,831.0499999999998,100.02,42.69,154.74,92.01,95.4,,23.11,174.55
126.95,831.02,100.01,42.685,154.69999999999996,92.0,95.4,22.33,23.12,174.47999999999996
126.96,831.01,99.99,42.67,154.62,91.99,95.39,22.31,23.11,174.475
126.92,831.02,99.95,42.66,,91.98,95.4,22.325,23.11,174.61
126.95,831.18,99.95,42.67,154.614,91.98500000000001,95.4132,22.35,23.12,174.6
126.91,831.1499999999999,99.91,42.661,154.66,92.0,95.41,,23.12,174.52
126.94,831.45,99.95,42.675,154.65,92.0,95.43,22.36,23.12,174.54
126.95,831.461,99.965,42.675,154.67,92.005,95.42,22.35,23.11,174.61
126.94,831.2799999999999,100.0,42.67,154.665,91.99,95.41,22.34,,174.63
126.85,830.7799999999999,99.96,42.65,154.63,91.98,95.37,22.33,23.09,174.6
126.89,831.0,99.94,42.65,154.61,92.0,95.38,22.36,23.12,174.64
126.9,831.02,99.935,42.65,154.58,91.98500000000001,95.35,22.36,23.13,174.635
126.85,830.95,99.93,42.641000000000005,154.58,,95.36000000000003,22.35,23.13,174.655
126.83,830.57,99.92,42.63,154.53,91.91,95.29,22.34,23.11,174.53
126.78,830.36,99.83,42.57,154.69999999999996,91.905,95.26,22.27,23.08,174.35
126.78,830.1599999999999,99.82,42.58,154.74,91.87,95.25,22.28,23.06,174.35
126.78,830.26,99.85,42.59,154.79,91.85,95.24,22.25,23.05,174.38
126.77,830.14,99.81,42.59,154.72,91.8,95.22,22.265,23.04,174.41
126.74,830.12,99.82,42.56,154.77,91.82,95.23,22.25,23.03,174.39
126.81,830.64,99.85,42.58,154.87,91.88,95.24,22.265,23.04,174.43
126.8,830.68,99.89,42.58,154.87,91.92,95.25,22.29,23.06,174.44
126.74,830.49,99.86000000000003,42.56,154.81,91.905,95.21,22.285,23.04,174.32
126.69,830.25,99.79,42.555,154.76,91.87,95.16,22.276,23.04,174.4
126.7,830.2999999999998,99.83,42.57,154.76,91.85,95.165,22.27,23.055,174.32
126.54,829.56,99.82,42.55,154.61,91.75,95.07,22.24,23.04,174.22999999999996
126.86000000000003,829.4099999999999,99.92,42.57,155.07,91.95,95.34,22.24,23.05,173.76
,833.1,99.81,42.62,155.4837,,95.07,,,174.14
126.95760000000003,835.9184,99.7944,42.636,155.71,92.49,94.81,,,174.3339
126.7,833.62,99.76,42.711000000000006,155.5,,95.09,,,174.1888
126.89,835.32,99.96,42.71,155.35,,95.13,22.2,22.9,174.18
126.95,835.14,100.17,42.71,155.38,92.13,95.41,21.95,22.79,174.36
126.84,835.2999999999998,100.14,42.75,155.3411,92.1,95.31,21.97,22.855,174.27
126.72,835.7999999999998,100.02,42.78,155.4265,92.38,95.175,22.01,22.92,174.3
126.87,836.32,100.03,42.725,155.295,92.245,95.23,22.1,22.79,174.53
126.88,836.705,100.05,42.7,155.49,92.03,95.13,,22.79,174.69
126.84,836.715,100.14,42.71,155.485,92.15,95.23,22.06,,174.82
126.81,836.76,100.195,42.69,155.44,91.97,95.24,22.01,22.725,174.925
126.71,836.0825,100.14,42.695,155.44999999999996,,95.27,21.96,22.645,174.93
,836.97,100.13,42.68,155.55,92.1295,95.33,21.87,22.66,175.01
126.7,836.88,100.13,42.73,155.27,92.04,95.37,21.93,22.75,175.06
126.7,836.72,100.13,42.76,155.5,92.08,95.46,21.98,22.79,175.02
126.54,836.515,100.14,42.81,155.47,92.09,95.5106,21.94,22.8,175.22999999999996
126.44,835.88,100.115,42.87,155.4824,92.085,95.48,21.94,22.8,175.11
126.41,835.9975,100.13,42.91,155.55,92.04,95.43,22.04,22.85,175.15
126.31,836.2899999999998,100.14,42.91,,92.055,95.54,22.0,,175.17
126.26,836.2999999999998,100.1,42.89,155.62,91.95,95.455,,22.87,175.02
126.41,835.895,100.01,42.9,155.52,91.92,95.41,22.01,22.86,174.85
126.46,836.1,99.87,42.92,155.33,91.94,95.3519,22.03,22.91,174.93
126.3,835.875,99.87,42.95,155.365,91.98500000000001,95.28,22.085,23.0,175.05
126.311,835.6699999999998,99.78,42.96,155.43,92.015,95.29,22.1,22.98,175.06
,835.3999999999999,99.65,42.95,155.515,92.12,95.31,22.095,23.0,174.92
126.23,834.97,99.63,42.97,,92.01,95.24,22.1,,174.8
126.37,835.09,99.64,42.95,155.465,92.08,95.21,22.19,22.99,174.71
,835.0299999999999,99.8699,42.9501,155.47,92.005,95.19,22.13,23.01,174.75
126.23,834.73,99.95,42.995,155.47999999999996,92.04,95.18,,22.98,174.75
126.27,834.465,99.97,43.08,155.619,92.09,95.13,22.255,23.06,174.65
126.225,835.12,99.96,42.99,155.63,92.11000000000001,95.22,22.25,23.12,174.88
126.18,834.94,100.01,43.0,155.695,92.0,95.23,22.28,23.1,174.84
126.145,835.1599999999999,99.97,42.97,155.5,91.97,95.24,,23.09,174.69
126.19,835.19,99.96,42.985,155.31,91.98500000000001,95.28,22.25,23.05,174.69
126.1,835.385,99.945,42.985,,91.92,95.33,22.25,,174.58
126.14,834.95,99.88,42.9775,155.32,91.85,95.34,22.21,,174.52
126.04,834.45,99.74,42.955,155.17,91.93,95.19,22.2,23.0,174.36
126.01,834.3225,99.71,42.95,155.22999999999996,91.82,95.185,22.17,22.96,174.43
126.06,834.2,99.74,42.94,155.28,91.86000000000001,95.22,22.145,22.93,174.37
126.06,834.465,99.61000000000003,42.95,155.19999999999996,91.88,95.31,22.13,22.85,174.35
126.07,834.07,99.6,42.905,154.99,91.76,95.18,22.02,22.8,174.13
,833.841,99.625,42.89,154.87,91.86000000000001,95.28,,22.82,174.11
,833.3999999999999,99.7,42.89,154.58,91.94,95.255,,22.75,174.19
126.03,834.0449999999998,99.76,42.87,154.69,91.82,95.32,22.0325,22.83,174.275
125.99,834.23,99.8,42.82,154.6991,91.8527,95.26,22.06,,174.28
125.91,834.0,99.88,42.835,154.81,91.88,95.27,22.035,22.75,174.43
125.87,834.055,99.84,42.85,154.75,91.83,95.37,,22.72,174.42
125.86000000000003,834.6461,99.82,42.88,,91.81,95.46,21.945,22.73,174.41
125.90280000000003,834.755,99.76,42.875,,91.76,95.48,21.93,22.67,174.36
125.81,834.58,99.84,42.84,154.71,91.76,95.47,21.89,22.63,174.24
125.96,834.52,99.9,42.85,,,95.47,21.9129,22.69,174.3
125.96,834.805,99.9,42.87,154.72999999999996,91.8,95.51,21.93,22.7,174.39
126.02,835.0349999999999,99.93,42.89,154.8635,91.87,95.51,,22.72,174.34
,834.7949999999998,99.92080000000003,42.91,155.0,91.81,95.51,,22.69,174.31
,834.7641999999998,100.02,42.95,154.94999999999996,91.82,95.59,,22.71,
126.06,835.06,100.01,42.97,154.96,91.97,95.65,22.04,22.79,174.44999999999996
